N,M,NIST_pass_status_1,NIST_pass_status_2,NIST_pass_status_3,NIST_pass_status_4,NIST_pass_status_5,NIST_pass_status_6,NIST_pass_status_7,NIST_pass_status_8,NIST_pass_status_9,NIST_pass_status_10,NIST_pass_status_11,NIST_pass_status_12,NIST_pass_status_13,NIST_pass_status_14,NIST_pass_status_15,NIST_pass_rate,autocorr_pass_status,autocorr_coefficient,runs_pass_status,runs_p_value
16,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,46.666666666666664,1,0.009333009333009333,0,1.0857506786729218e-20
16,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.00958100958100958,0,0.0
16,2,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.007815007815007815,0,5.880467670581927e-15
16,3,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.010145010145010146,0,3.558583100525894e-24
16,4,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,60.0,1,0.007105007105007105,0,1.2234229615655179e-12
16,5,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008689008689008688,0,3.7737466356718574e-18
16,6,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009855009855009854,0,6.606720078061033e-23
16,7,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,40.0,1,0.009783009783009783,0,1.4669903727483476e-22
16,8,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.008709008709008708,0,3.165328954708198e-18
16,9,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,46.666666666666664,1,0.008367008367008367,0,0.0
16,10,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,40.0,1,0.009753009753009753,0,0.0
16,11,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.010581010581010582,0,3.692815330573546e-26
16,12,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,40.0,1,0.00849100849100849,0,0.0
16,13,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.00936900936900937,0,0.0
16,14,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.008351008351008351,0,6.83791218842359e-17
16,15,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.0105010105010105,0,0.0
17,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.007935007935007935,0,2.1366994830314795e-15
17,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.008967008967008966,0,3.3179841435638286e-19
17,2,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.009849009849009849,0,0.0
17,3,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.010371010371010372,0,0.0
17,4,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,40.0,1,0.008563008563008564,0,0.0
17,5,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.007305007305007305,0,2.9360044182597647e-13
